0,1,2,3,4
4.7,3.2,1.3,0.2,Iris-setosa
5,3.6,1.4,0.2,Iris-setosa
5,3.4,1.5,0.2,Iris-setosa
4.4,2.9,1.4,0.2,Iris-setosa
5.8,4,1.2,0.2,Iris-setosa
4.8,3.4,1.9,0.2,Iris-setosa
4.9,3.1,1.5,0.1,Iris-setosa
4.6,3.2,1.4,0.2,Iris-setosa
5,3.3,1.4,0.2,Iris-setosa
5.5,2.3,4,1.3,Iris-versicolor
5.7,2.8,4.5,1.3,Iris-versicolor
6.6,2.9,4.6,1.3,Iris-versicolor
5.2,2.7,3.9,1.4,Iris-versicolor
5,2,3.5,1,Iris-versicolor
5.9,3,4.2,1.5,Iris-versicolor
6.7,3.1,4.4,1.4,Iris-versicolor
5.6,3,4.5,1.5,Iris-versicolor
5.8,2.7,4.1,1,Iris-versicolor
6.1,2.8,4,1.3,Iris-versicolor
5.7,2.6,3.5,1,Iris-versicolor
5.5,2.4,3.8,1.1,Iris-versicolor
6.7,3.1,4.7,1.5,Iris-versicolor
6.3,2.3,4.4,1.3,Iris-versicolor
6.1,3,4.6,1.4,Iris-versicolor
5,2.3,3.3,1,Iris-versicolor
5.6,2.7,4.2,1.3,Iris-versicolor
5.1,2.5,3,1.1,Iris-versicolor
6.3,3.3,6,2.5,Iris-virginica
6.3,2.9,5.6,1.8,Iris-virginica
7.6,3,6.6,2.1,Iris-virginica
7.3,2.9,6.3,1.8,Iris-virginica
6.7,2.5,5.8,1.8,Iris-virginica
7.4,2.8,6.1,1.9,Iris-virginica
6,3,4.8,1.8,Iris-virginica
5.8,2.7,5.1,1.9,Iris-virginica
6.8,3.2,5.9,2.3,Iris-virginica
6.5,3,5.2,2,Iris-virginica
6.2,3.4,5.4,2.3,Iris-virginica
